epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,28234.4,0.67049,0.59581,1.02433,0.91142,0.87564,0.93417,0.75761,0.76368,0.54561,0.93099,0.0003664,0.0003664,0.0003664
130,28292.4,0.67405,0.60652,1.02541,0.91033,0.86623,0.93015,0.76468,0.71967,0.56214,0.92028,0.00036145,0.00036145,0.00036145
131,28350.6,0.67555,0.60907,1.03086,0.89449,0.86183,0.92272,0.75598,0.72221,0.5765,0.92341,0.0003565,0.0003565,0.0003565
132,28408.8,0.67529,0.59904,1.02732,0.91468,0.85743,0.92919,0.75466,0.74439,0.57411,0.92687,0.00035155,0.00035155,0.00035155
133,28467.6,0.66883,0.59937,1.02438,0.91231,0.86731,0.92847,0.74685,0.77769,0.57043,0.9372,0.0003466,0.0003466,0.0003466
134,28525.9,0.66908,0.59281,1.0237,0.92825,0.86363,0.93533,0.74673,0.80195,0.55175,0.93495,0.00034165,0.00034165,0.00034165
135,28584.3,0.67184,0.59719,1.025,0.91934,0.87585,0.93436,0.75576,0.7673,0.54462,0.93,0.0003367,0.0003367,0.0003367
136,28642.6,0.66653,0.5936,1.02345,0.90527,0.86876,0.92893,0.75389,0.74652,0.5651,0.91876,0.00033175,0.00033175,0.00033175
137,28701.4,0.65704,0.58529,1.02006,0.90343,0.87697,0.92651,0.75603,0.74279,0.56506,0.92607,0.0003268,0.0003268,0.0003268
138,28759.8,0.66146,0.59151,1.0231,0.8971,0.88513,0.93628,0.77162,0.7145,0.53866,0.91624,0.00032185,0.00032185,0.00032185
139,28818.2,0.66291,0.58639,1.02152,0.88803,0.87501,0.93176,0.76636,0.71552,0.56268,0.91508,0.0003169,0.0003169,0.0003169
140,28876.8,0.65759,0.58093,1.02051,0.9081,0.86561,0.93085,0.77027,0.70293,0.54709,0.9247,0.00031195,0.00031195,0.00031195
141,28935.7,0.65901,0.58143,1.02097,0.93087,0.84488,0.93375,0.76413,0.73658,0.54637,0.9257,0.000307,0.000307,0.000307
142,28994.2,0.65837,0.58011,1.01983,0.92733,0.85851,0.93591,0.76638,0.72757,0.54159,0.92705,0.00030205,0.00030205,0.00030205
143,29052.6,0.65598,0.58454,1.02024,0.92797,0.86382,0.93581,0.76243,0.74815,0.55041,0.92551,0.0002971,0.0002971,0.0002971
144,29111.1,0.65171,0.57544,1.01815,0.90423,0.86739,0.93466,0.76711,0.72831,0.55653,0.9203,0.00029215,0.00029215,0.00029215
145,29169.9,0.65168,0.57148,1.01655,0.92421,0.8527,0.9331,0.75748,0.75988,0.54746,0.93056,0.0002872,0.0002872,0.0002872
146,29228.4,0.64415,0.56565,1.01246,0.91555,0.87155,0.92966,0.76314,0.72778,0.54404,0.92549,0.00028225,0.00028225,0.00028225
147,29287,0.64827,0.5609,1.0127,0.90555,0.87467,0.92803,0.75899,0.73237,0.54219,0.92087,0.0002773,0.0002773,0.0002773
148,29345.3,0.64466,0.55819,1.0148,0.91507,0.86323,0.92819,0.77128,0.69619,0.5386,0.91753,0.00027235,0.00027235,0.00027235
149,29404.1,0.64388,0.56298,1.0126,0.92146,0.86605,0.92723,0.77025,0.70048,0.54895,0.91271,0.0002674,0.0002674,0.0002674
150,29462.9,0.65036,0.5567,1.01463,0.91713,0.86454,0.92985,0.76719,0.72572,0.53956,0.91854,0.00026245,0.00026245,0.00026245
151,29521.3,0.63952,0.55322,1.01108,0.92694,0.85545,0.93227,0.76,0.75509,0.54217,0.92356,0.0002575,0.0002575,0.0002575
152,29579.8,0.64259,0.55104,1.01434,0.91278,0.86451,0.93176,0.75782,0.75959,0.55008,0.9266,0.00025255,0.00025255,0.00025255
153,29638.4,0.63606,0.54932,1.01113,0.91288,0.8657,0.93031,0.76433,0.73097,0.54319,0.92391,0.0002476,0.0002476,0.0002476
154,29697.3,0.63965,0.54943,1.01185,0.91381,0.86538,0.928,0.7627,0.73226,0.54535,0.92047,0.00024265,0.00024265,0.00024265
155,29756,0.63321,0.54547,1.00829,0.91073,0.86288,0.92827,0.77056,0.69381,0.5408,0.91153,0.0002377,0.0002377,0.0002377
156,29814.6,0.63665,0.54426,1.0085,0.92306,0.86282,0.92934,0.76788,0.71294,0.5451,0.91364,0.00023275,0.00023275,0.00023275
157,29873.1,0.63189,0.54417,1.00975,0.93058,0.85413,0.93261,0.77881,0.69832,0.5402,0.91069,0.0002278,0.0002278,0.0002278
158,29932.5,0.63022,0.53899,1.00728,0.91662,0.87068,0.93274,0.77853,0.69672,0.53446,0.91115,0.00022285,0.00022285,0.00022285
159,29991,0.62835,0.5393,1.00574,0.93196,0.85956,0.93348,0.77641,0.70506,0.53016,0.91245,0.0002179,0.0002179,0.0002179
160,30049.5,0.62533,0.53246,1.00313,0.90042,0.88183,0.93353,0.76794,0.72468,0.5267,0.91786,0.00021295,0.00021295,0.00021295
161,30108,0.6218,0.53034,1.00231,0.91044,0.87446,0.93434,0.77546,0.70154,0.5255,0.9059,0.000208,0.000208,0.000208
162,30167.3,0.62623,0.53407,1.00173,0.91487,0.86598,0.93298,0.77455,0.704,0.53586,0.90533,0.00020305,0.00020305,0.00020305
163,30225.7,0.62306,0.52773,1.00345,0.92492,0.85478,0.92997,0.7756,0.69392,0.53601,0.90667,0.0001981,0.0001981,0.0001981
164,30284.1,0.62697,0.52226,1.00216,0.92875,0.85389,0.93171,0.77161,0.70593,0.53758,0.90791,0.00019315,0.00019315,0.00019315
165,30342.5,0.61978,0.52101,0.99979,0.92468,0.85412,0.93126,0.7726,0.70641,0.53712,0.9059,0.0001882,0.0001882,0.0001882
